id,name,language,origin,ipa
n001,James,english,Common English given name,
n002,Emily,english,Common English given name,
n003,Michael,english,Common English given name,
n004,Sarah,english,Common English given name,
n005,Oluwaseun,yoruba,Common Yoruba given name,
n006,Adebayo,yoruba,Common Yoruba given name,
n007,Folake,yoruba,Common Yoruba given name,
n008,Babatunde,yoruba,Common Yoruba given name,
n009,Chukwuemeka,igbo,Common Igbo given name,
n010,Ngozi,igbo,Common Igbo given name,
n011,Obinna,igbo,Common Igbo given name,
n012,Adaeze,igbo,Common Igbo given name,
n013,Abubakar,hausa,Common Hausa given name,
n014,Aisha,hausa,Common Hausa / pan-Islamic given name,
n015,Ibrahim,hausa,Common Hausa / pan-Islamic given name,
n016,Zainab,hausa,Common Hausa / pan-Islamic given name,
